"strain","country","state","date","latitude","longitude","region","num_date"
"China|Guangzhou|JN009092|serum|Dengue_2|E|External|2010-06-15|2010.45205479452","China","Guangzhou","2010-06-15",35.000074,104.999927,"SEA",2010
"China|NA|JN029819|D10156-GZ|Dengue_2|E|External|2010-06-15|2010.45205479452","China","NA","2010-06-15",35.000074,104.999927,"SEA",2010
"Malaysia|NA|KJ806885|MYS(Terengganu)D2/53Y13|Dengue_2|E|External|2013-06-15|2013.45205479452","Malaysia","NA","2013-06-15",4.5693754,102.2656823,"SEA",2013
"Indonesia|NA|KY851388|DV2/INDONESIA/024/2012|Dengue_2|E|External|2012-06-15|2012.45205479452","Indonesia","NA","2012-06-15",-2.4833826,117.8902853,"SEA",2012
"Indonesia|NA|KT175122||Dengue_2|E|External|2013-06-15|2013.45205479452","Indonesia","NA","2013-06-15",-2.4833826,117.8902853,"SEA",2013
"Indonesia|Sukabumi,_West_Java|KF052657|SKB-CM075|Dengue_2|E|External|2012-06-15|2012.45205479452","Indonesia","Sukabumi,_West_Java","2012-06-15",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Jember|MT377729|JBB-145|Dengue_2|E|External|2020-01-15|2020.03835616438","Indonesia","Jember","2020-01-15",-2.4833826,117.8902853,"SEA",2020
"Indonesia|NA|KT781547|Bali_2013c|Dengue_2|E|External|2013-06-15|2013.45205479452","Indonesia","NA","2013-06-15",-2.4833826,117.8902853,"SEA",2013
"Indonesia|NA|JF968014||Dengue_2|E|External|2010-06-15|2010.45205479452","Indonesia","NA","2010-06-15",-2.4833826,117.8902853,"SEA",2010
"Indonesia|NA|KY851387|DV2/INDONESIA/019/2012|Dengue_2|E|External|2012-06-15|2012.45205479452","Indonesia","NA","2012-06-15",-2.4833826,117.8902853,"SEA",2012
"Indonesia|NA|KU529746|JMB-054|Dengue_2|E|External|2015-06-15|2015.45205479452","Indonesia","NA","2015-06-15",-2.4833826,117.8902853,"SEA",2015
"Taiwan|NA|MG895153||Dengue_2|E|External|2016-08-08|2016.6","Taiwan","NA","2016-08-08",23.9739374,120.9820179,"SEA",2016
"Indonesia|Sukabumi,_West_Java|KF052658|SKB-CM081|Dengue_2|E|External|2012-06-15|2012.45205479452","Indonesia","Sukabumi,_West_Java","2012-06-15",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Sukabumi,_West_Java|KF052663|SKB-CM112|Dengue_2|E|External|2012-06-15|2012.45205479452","Indonesia","Sukabumi,_West_Java","2012-06-15",-2.4833826,117.8902853,"SEA",2012
"Indonesia|NA|LC064746||Dengue_2|E|External|2015-06-15|2015.45205479452","Indonesia","NA","2015-06-15",-2.4833826,117.8902853,"SEA",2015
"Indonesia|Sukabumi,_West_Java|KF052652|SKB-CM036|Dengue_2|E|External|2012-06-15|2012.45205479452","Indonesia","Sukabumi,_West_Java","2012-06-15",-2.4833826,117.8902853,"SEA",2012
"Indonesia|NA|KY851389|DV2/INDONESIA/025/2012|Dengue_2|E|External|2012-06-15|2012.45205479452","Indonesia","NA","2012-06-15",-2.4833826,117.8902853,"SEA",2012
"Indonesia|NA|KY851390|DV2/INDONESIA/040/2013|Dengue_2|E|External|2013-06-15|2013.45205479452","Indonesia","NA","2013-06-15",-2.4833826,117.8902853,"SEA",2013
"Taiwan|NA|MG895060||Dengue_2|E|External|2014-06-15|2014.45205479452","Taiwan","NA","2014-06-15",23.9739374,120.9820179,"SEA",2014
"Malaysia|NA|JF968035||Dengue_2|E|External|2010-06-15|2010.45205479452","Malaysia","NA","2010-06-15",4.5693754,102.2656823,"SEA",2010
"East_Timor|NA|KY275199|D2/Timor/007/2010|Dengue_2|E|External|2010-12-15|2010.95342465753","East_Timor","NA","2010-12-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275200|D2/Timor/028/2010|Dengue_2|E|External|2010-08-15|2010.61917808219","East_Timor","NA","2010-08-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275213|D2/Timor/126/2011|Dengue_2|E|External|2011-04-15|2011.28493150685","East_Timor","NA","2011-04-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275223|D2/Timor/350/2010|Dengue_2|E|External|2010-10-15|2010.78630136986","East_Timor","NA","2010-10-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|JN568257|East_Timor_2010|Dengue_2|E|External|2010-06-15|2010.45205479452","East_Timor","NA","2010-06-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275214|D2/Timor/127/2011|Dengue_2|E|External|2011-04-15|2011.28493150685","East_Timor","NA","2011-04-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275218|D2/Timor/219/2010|Dengue_2|E|External|2010-07-15|2010.53424657534","East_Timor","NA","2010-07-15",-8.7443169,126.063482,"SEA",2010
